date,price
02-May-24,560
03-May-24,560
06-May-24,560
07-May-24,560
08-May-24,540
09-May-24,540
10-May-24,540
13-May-24,540
14-May-24,520
15-May-24,500
16-May-24,490
17-May-24,500
20-May-24,490
21-May-24,490
